game,tick,p1_food,p1_wood,p1_stone,p1_gold
1000,0,60,45,30,25
1000,0,40,45,30,20
1000,0,20,45,30,15
1000,0,0,45,30,10
1000,0,0,45,30,10
1000,2,0,45,30,10
1001,0,60,45,30,25
1001,0,50,45,31,25
1001,2,50,30,31,15
1001,3,50,15,31,5
1001,3,30,15,32,0
1001,3,30,15,32,0
1002,0,50,45,30,25
1002,0,40,45,30,25
1002,0,40,30,30,15
1002,0,20,30,30,10
1002,0,20,30,30,10
1002,1,10,30,30,10
1003,0,60,45,30,25
1003,1,30,45,30,21
1003,2,30,45,30,21
1003,2,30,45,30,21
1003,2,10,45,30,16
1003,2,10,45,30,16
1004,0,60,45,30,25
1004,0,40,45,30,20
1004,0,40,30,30,11
1004,0,0,30,30,1
1004,1,0,30,30,2
1004,1,0,30,30,2
1005,0,60,45,30,25
1005,1,60,45,30,25
1005,1,60,45,30,26
1005,2,60,45,30,26
1005,2,60,45,30,26
1005,2,60,45,30,26
1006,0,60,45,30,25
1006,1,60,45,30,26
1006,2,60,45,30,26
1006,2,40,30,30,11
1006,3,20,30,30,6
1006,4,20,30,30,6
1007,0,60,45,30,25
1007,0,50,45,30,26
1007,1,50,45,30,26
1007,1,40,45,30,26
1007,1,30,45,30,26
1007,3,30,45,30,26
1008,0,60,45,30,25
1008,2,30,45,30,20
1008,3,30,45,30,20
1008,3,30,45,30,20
1008,3,20,45,30,20
1008,3,0,45,30,16
1009,1,60,45,30,25
1009,3,40,30,30,10
1009,3,30,15,30,0
1009,4,30,15,30,0
1009,4,30,15,30,0
1009,5,20,15,30,0
1010,0,40,45,30,20
1010,0,30,45,30,20
1010,0,10,30,30,5
1010,1,10,30,30,5
1010,2,10,30,30,5
1010,2,10,30,30,5
1011,0,60,45,30,25
1011,1,60,15,30,5
1011,2,30,15,30,0
1011,2,30,15,30,0
1011,3,30,15,30,0
1011,6,30,15,30,0
1012,0,60,45,30,25
1012,1,30,45,30,20
1012,1,10,45,30,15
1012,3,10,45,30,15
1012,3,0,45,30,15
1012,3,0,45,30,15
1013,0,40,45,30,20
1013,0,30,30,30,10
1013,1,10,30,30,5
1013,2,0,30,30,5
1013,3,0,30,30,5
1013,4,0,30,30,5
1014,0,60,45,30,26
1014,0,60,45,30,26
1014,0,60,30,30,16
1014,0,40,30,30,11
1014,1,40,15,30,2
1014,1,40,15,30,2
1015,0,60,45,30,25
1015,1,60,30,30,15
1015,1,40,30,30,10
1015,1,40,30,30,10
1015,1,20,30,30,7
1015,1,10,30,30,9
1016,0,60,30,30,15
1016,0,40,30,30,10
1016,0,30,30,30,10
1016,0,10,30,30,5
1016,0,0,30,30,5
1016,0,0,30,30,5
1017,1,60,45,30,25
1017,1,40,30,30,10
1017,2,40,30,30,10
1017,3,30,15,30,0
1017,3,30,15,30,0
1017,4,20,15,30,0
1018,0,60,45,30,26
1018,0,60,45,30,26
1018,1,40,45,30,24
1018,2,20,45,30,19
1018,2,20,45,30,19
1018,2,0,45,30,14
1019,0,60,45,30,25
1019,0,40,45,30,20
1019,0,40,45,30,20
1019,0,40,30,30,10
1019,1,20,30,30,5
1019,1,0,30,30,0
